Comment,Designator,Footprint,LCSC
1k,R7,R_0402_1005Metric,C11702
SMA--BU-SMA-H,X1,BU-SMA-H,C1509230
100nF,C2,C_0402_1005Metric,C1525
10u,C4,C_0805_2012Metric,C15850
47nF,C1,C_0603_1608Metric,C1622
TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12,C165948
220R,"R2,R3,R4,R5,R6",R_0402_1005Metric,C25091
6.8k,R1,R_0402_1005Metric,C25917
100n,C3,C_0805_2012Metric,C49678
AMS1117-3.3,U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186
D_LED_0603_Yellow,D1,LED_0603_1608Metric,C72038
SN74AC14DR,U1,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,C7619
MountingHole_Pad,H3,MountingHole_2.2mm_M2_Pad_Via,
MountingHole_Pad,H4,MountingHole_2.2mm_M2_Pad_Via,
MountingHole_Pad,H2,MountingHole_2.2mm_M2_Pad_Via,
MountingHole_Pad,H1,MountingHole_2.2mm_M2_Pad_Via,
