Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47nF,C_0603_1608Metric,127.4064,-72.0852,0.0,top
C2,100nF,C_0402_1005Metric,126.9746,-77.6478,0.0,top
C3,100n,C_0805_2012Metric,112.0,-81.25,90.0,top
C4,10u,C_0805_2012Metric,114.25,-81.2,-90.0,top
D1,D_LED_0603_Yellow,LED_0603_1608Metric,107.97,-69.71,0.0,top
R1,6.8k,R_0402_1005Metric,124.8156,-70.358,0.0,top
R2,220R,R_0402_1005Metric,121.6152,-69.8754,90.0,top
R3,220R,R_0402_1005Metric,119.0752,-69.8774,90.0,top
R4,220R,R_0402_1005Metric,122.9106,-79.8576,-90.0,top
R5,220R,R_0402_1005Metric,120.3452,-79.883,-90.0,top
R6,220R,R_0402_1005Metric,117.8306,-79.883,-90.0,top
R7,1k,R_0402_1005Metric,108.73,-71.72,90.0,top
U1,SN74AC14DR,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,121.6152,-74.8792,180.0,top
U2,AMS1117-3.3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,112.0,-75.0,270.0,top
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,102.9646,-75.6379,180.0,top
X1,SMA--BU-SMA-H,BU-SMA-H,133.92115,-74.9046,0.0,top
